2020-07-14 15:23:50,873 [Thread-42   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:50,886 [Thread-39   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:51,010 [Thread-37   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:51,088 [Thread-38   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:51,090 [Thread-41   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:51,140 [Thread-40   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:55,879 [Thread-42   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:55,943 [Thread-39   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:56,031 [Thread-37   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:56,099 [Thread-38   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:56,100 [Thread-41   ] [WARNI]  Failed to see startup log message; retrying...
2020-07-14 15:23:56,143 [Thread-40   ] [WARNI]  Failed to see startup log message; retrying...
